,Id,Soil type,StuckInMud,VisibleSnow,Town,Area,Date,EPSG,Latitude,Longitude,NSDSI1,NSDSI2,NSDSI3,SurfaceTemp,NSDSI1-2week,NSDSI2-2week,NSDSI3-2week,SurfaceTemp-2week,NSDSI1-4week,NSDSI2-4week,NSDSI3-4week,SurfaceTemp-4week
26,27,chernozems,False,False,Nyrkove,Vrubivka,2022-11-08,32637,449437.48830451677,5400401.419754236,0.1427151051625239,0.16647336961370326,0.0768407181683413,39661.0,0.1427151051625239,0.16647336961370326,0.0768407181683413,39661.0,0.1581139372304031,0.18780918727915194,0.08584349511426956,42119.0
27,28,chernozems,False,False,Yehorivka,Vuhledar,2022-10-08,32637,368501.74827354297,5285252.219128279,0.1729209309377606,0.2090742438130156,0.09464337579353554,42543.0,,,,,0.21083498277252402,0.26716209939619134,0.11783987544046545,47703.0
28,29,chernozems,False,False,Yakovlivka,Soledar,2022-08-15,32637,437210.68524373404,5394705.945176147,,,,,0.14658854258586002,0.17176772272313673,0.07909120341274829,41746.0,0.16172045951859956,0.19291948772330533,0.08797381244652755,47395.0
29,30,chernozems,False,False,Avdiivka,Donetsk,2022-08-15,32637,407436.29390739644,5340996.976689584,,,,,,,,,,,,
30,31,alluvial,False,False,Zolotarivka,Sjevjerodonetsk,2022-08-17,32637,445274.8537935865,5414226.988899784,,,,,,,,,0.081785833425998,0.08907054193157736,0.042636445320425494,46980.0
31,32,chernozems,False,False,Soledar,Soledar,2022-08-17,32637,435587.2323205061,5389982.970895955,,,,,,,,,0.025064995666955536,0.02570940170940171,0.012691554715452642,44764.0
32,33,chernozems,False,False,Dementiivka,Kharkiv,2022-08-18,32637,303932.24498545064,5569187.685239646,,,,,0.21477553905973842,0.27352120284505266,0.12030730239188975,,,,,
33,34,chernozems,False,False,Mariinka,Mariinka,2022-08-20,32637,390583.20635800227,5313227.433874577,,,,,,,,,0.21058329949925564,0.2667581004628836,0.1176826501285736,45820.0
34,35,chernozems,False,False,Storozheve,Velyka Novosilka,2022-08-21,32637,333146.9285996114,5297029.433055358,,,,,0.230774374749231,0.3000086933843345,0.13043806932002872,47854.0,0.230774374749231,0.3000086933843345,0.13043806932002872,47854.0
35,36,chernozems,False,False,Nevel's'ke,Pisky,2022-08-23,32637,398604.28747684194,5322666.7376598315,0.1911175349845608,0.2362735542560104,0.10565503214324629,48645.0,,,,,0.17388548489330236,0.21048593350383632,0.09522156658567626,
36,37,chernozems,False,False,Blahodativka,Kherson,2022-08-22,32636,501182.9756712125,5224126.560843179,,,,,,,,,,,,
37,38,kastanozem,False,False,Tavrijs´ke,Kherson,2022-08-25,32636,434132.596795683,5172166.170208871,,,,,0.17197757111597375,0.20769675448013875,0.0940784797815434,48175.0,,,,
38,39,chernozems,False,False,Staromaiors’ke,Velyka Novosilka,2022-02-09,32637,335269.5542619851,5288678.821557913,,,,,0.07801836717499368,0.08462030521794754,0.04059267052428547,36249.0,0.07801836717499368,0.08462030521794754,0.04059267052428547,36249.0
39,40,chernozems,False,False,Kostromka,Kherson,2022-05-09,32636,511116.3592156778,5220858.950219249,,,,,,,,,,,,
40,41,kastanozem,False,False,Ternovi Pody,Kherson,2022-08-09,32636,452744.22453053016,5189922.743144943,0.0961105930111361,0.10633003580748923,0.05048118480954302,51174.0,,,,,0.19379800853485063,0.24038393676335662,0.10729586693548387,
41,42,chernozems,False,False,Novovoznesens'ke,Kherson,2022-07-09,32636,545240.2350046125,5252187.646486782,0.1449883750968742,0.16957474129465971,0.07816035929394562,50264.0,,,,,,,,
42,43,chernozems,False,False,Novopetrivka,Kherson,2022-10-09,32636,475444.71188486915,5212296.297861298,,,,,,,,,,,,
43,44,chernozems,False,False,Pisky,Pisky,2022-11-09,32637,400222.3875939399,5325102.631057372,0.11332444514155753,0.12780824341057845,0.06006567734962797,40833.0,0.11332444514155753,0.12780824341057845,0.06006567734962797,40833.0,0.11186121359604365,0.12595015025631962,0.059244169126512286,40833.0
44,45,kastanozem,True,False,Kyselivka,Kherson,2022-12-09,32636,453644.0384511708,5180665.873993546,,,,,,,,,,,,
45,46,lessive,False,False,Male Vesele,Kharkiv,2022-09-16,32637,324252.9458199163,5558177.413627642,,,,,,,,,0.2289212137168433,0.29688433632095607,0.12925524007730044,
46,47,chernozems,False,False,Spirne,Vrubivka,2022-09-18,32637,446683.4973561202,5406710.175757865,0.09073254097723918,0.09978641606151217,0.0475221743022215,37955.0,0.14692529921584813,0.17223028543783261,0.07928730512249443,48607.0,,,,
